date,fund_house,isin_div_reinvestment,isin_growth,nav,scheme_category,scheme_code,scheme_name,scheme_type
03-06-2026,SBI Mutual Fund,,INF200K01T51,194.08100,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-06-2026,SBI Mutual Fund,,INF200K01T51,193.12950,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
01-06-2026,SBI Mutual Fund,,INF200K01T51,192.31950,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
31-05-2026,SBI Mutual Fund,,INF200K01T51,193.68360,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
29-05-2026,SBI Mutual Fund,,INF200K01T51,193.68480,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-05-2026,SBI Mutual Fund,,INF200K01T51,195.05010,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
26-05-2026,SBI Mutual Fund,,INF200K01T51,194.22580,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
25-05-2026,SBI Mutual Fund,,INF200K01T51,193.55990,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
22-05-2026,SBI Mutual Fund,,INF200K01T51,192.12270,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
21-05-2026,SBI Mutual Fund,,INF200K01T51,191.75750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-05-2026,SBI Mutual Fund,,INF200K01T51,189.86610,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-05-2026,SBI Mutual Fund,,INF200K01T51,189.55530,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-05-2026,SBI Mutual Fund,,INF200K01T51,187.91260,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
15-05-2026,SBI Mutual Fund,,INF200K01T51,190.24050,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
14-05-2026,SBI Mutual Fund,,INF200K01T51,189.93450,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-05-2026,SBI Mutual Fund,,INF200K01T51,190.46400,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-05-2026,SBI Mutual Fund,,INF200K01T51,190.61520,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-05-2026,SBI Mutual Fund,,INF200K01T51,195.58600,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-05-2026,SBI Mutual Fund,,INF200K01T51,196.88210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
07-05-2026,SBI Mutual Fund,,INF200K01T51,197.47530,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-05-2026,SBI Mutual Fund,,INF200K01T51,196.00360,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-05-2026,SBI Mutual Fund,,INF200K01T51,194.56180,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-05-2026,SBI Mutual Fund,,INF200K01T51,195.44690,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-04-2026,SBI Mutual Fund,,INF200K01T51,193.41310,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
29-04-2026,SBI Mutual Fund,,INF200K01T51,194.15230,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
